date,avg_sentiment_score,open,high,low,close,volume,price_change,Bearish,Bullish,Neutral
2025-08-08,0.7441318490757391,117519.6484375,117626.7265625,116340.5859375,116466.625,63143063552.0,-1053.0234375,0,0,1
2025-08-05,0.7090264198572739,115072.1875,115117.4375,112701.109375,114141.4453125,61039182286.0,-930.7421875,0,0,1
2025-08-04,0.725042879302925,114223.921875,115729.46875,114130.40625,115071.8828125,35783028986.0,847.9609375,0,0,1
2025-08-03,0.734658910398898,112525.8046875,114747.421875,111943.8046875,114217.671875,48099615826.0,1691.8671875,0,0,1
2025-08-02,0.7261611839135488,113320.390625,114021.6015625,112005.765625,112526.9140625,56870866000.0,-793.4765625,0,0,1
2025-08-01,0.7092585590216193,115738.953125,116060.7734375,112724.4453125,113320.0859375,91294530181.0,-2418.8671875,0,0,1
2025-07-31,0.6819034202458107,117833.6328125,118919.984375,115505.21875,115758.203125,69370346018.0,-2075.4296875,0,0,1
2025-07-30,0.69146339463837,117921.9921875,118780.7265625,115800.828125,117831.1875,68896148592.0,-90.8046875,0,0,1
2025-07-29,0.7262534452602267,117938.5859375,119273.8671875,116987.3671875,117922.1484375,68463107433.0,-16.4375,0,0,1
2025-07-28,0.7353998058372073,119457.5234375,119819.7890625,117441.4375,117924.4765625,64822943193.0,-1533.046875,0,1,0
2025-07-27,0.7567344175444709,117944.7265625,119815.59375,117859.6875,119448.4921875,54683390892.0,1503.765625,0,0,1
2025-07-26,0.7342346527359702,117644.84375,118335.6875,117181.2265625,117947.3671875,48508954046.0,302.5234375,0,0,1
2025-07-25,0.756089468797048,118368.0,118486.9765625,114759.8203125,117635.8828125,104857024569.0,-732.1171875,0,0,1
2025-07-24,0.7589763769736657,118770.984375,119535.453125,117247.96875,118368.0,72627318560.0,-402.984375,0,0,1
2025-07-23,0.7553622722625732,119997.4453125,120113.3515625,117391.390625,118754.9609375,66608604537.0,-1242.484375,0,0,1
2025-07-22,0.7411096642414728,117426.5,120269.96875,116233.2265625,119995.4140625,79217583118.0,2568.9140625,0,0,1
2025-07-21,0.6950284576416016,117306.46875,119671.5625,116584.3984375,117439.5390625,69820091744.0,133.0703125,0,0,1
2025-07-20,0.6945250471433003,117944.109375,118865.03125,116550.1328125,117300.7890625,57515447231.0,-643.3203125,0,0,1
2025-07-19,0.7238337331347995,117998.125,118541.3984375,117388.4140625,117939.9765625,47564562765.0,-58.1484375,0,0,1
